indicator,date,value,iso_code
Food Inflation,2012-06-30,0.0,MDV
Food Inflation,2012-07-31,0.62,MDV
Food Inflation,2012-08-31,1.03,MDV
Food Inflation,2012-09-30,0.14,MDV
Food Inflation,2012-10-31,0.48,MDV
Food Inflation,2012-11-30,0.94,MDV
Food Inflation,2012-12-31,3.89,MDV
Food Inflation,2013-01-31,4.01,MDV
Food Inflation,2013-02-28,1.36,MDV
Food Inflation,2013-03-31,2.7,MDV
Food Inflation,2013-04-30,2.88,MDV
Food Inflation,2013-05-31,4.28,MDV
Food Inflation,2013-06-30,4.7,MDV
Food Inflation,2013-07-31,7.8,MDV
Food Inflation,2013-08-31,5.6,MDV
Food Inflation,2013-09-30,8.8,MDV
Food Inflation,2013-10-31,8.5,MDV
Food Inflation,2013-11-30,8.4,MDV
Food Inflation,2013-12-31,3.8,MDV
Food Inflation,2014-01-31,-0.2,MDV
Food Inflation,2014-02-28,4.5,MDV
Food Inflation,2014-03-31,0.5,MDV
Food Inflation,2014-04-30,2.0,MDV
Food Inflation,2014-05-31,3.2,MDV
Food Inflation,2014-06-30,4.4,MDV
Food Inflation,2014-07-31,0.8,MDV
Food Inflation,2014-08-31,1.1,MDV
Food Inflation,2014-09-30,-1.3,MDV
Food Inflation,2014-10-31,0.6,MDV
Food Inflation,2014-11-30,-3.4,MDV
Food Inflation,2014-12-31,-1.1,MDV
Food Inflation,2015-01-31,2.5,MDV
Food Inflation,2015-02-28,-0.3,MDV
Food Inflation,2015-03-31,-0.6,MDV
Food Inflation,2015-04-30,0.4,MDV
Food Inflation,2015-05-31,-0.7,MDV
Food Inflation,2015-06-30,0.7,MDV
Food Inflation,2015-07-31,-0.2,MDV
Food Inflation,2015-08-31,1.5,MDV
Food Inflation,2015-09-30,1.0,MDV
Food Inflation,2015-10-31,-0.4,MDV
Food Inflation,2015-11-30,4.5,MDV
Food Inflation,2015-12-31,1.1,MDV
Food Inflation,2016-01-31,0.5,MDV
Food Inflation,2016-02-29,1.7,MDV
Food Inflation,2016-03-31,2.7,MDV
Food Inflation,2016-04-30,0.1,MDV
Food Inflation,2016-05-31,-1.6,MDV
Food Inflation,2016-06-30,-4.7,MDV
Food Inflation,2016-07-31,-3.7,MDV
Food Inflation,2016-08-31,-5.7,MDV
Food Inflation,2016-09-30,-2.4,MDV
Food Inflation,2016-10-31,0.0,MDV
Food Inflation,2016-11-30,-1.6,MDV
Food Inflation,2016-12-31,1.1,MDV
Food Inflation,2017-01-31,2.8,MDV
Food Inflation,2017-02-28,3.2,MDV
Food Inflation,2017-03-31,4.0,MDV
Food Inflation,2017-04-30,3.7,MDV
Food Inflation,2017-05-31,6.7,MDV
Food Inflation,2017-06-30,6.0,MDV
Food Inflation,2017-07-31,5.0,MDV
Food Inflation,2017-08-31,5.0,MDV
Food Inflation,2017-09-30,3.8,MDV
Food Inflation,2017-10-31,-0.8,MDV
Food Inflation,2017-11-30,-0.8,MDV
Food Inflation,2017-12-31,1.7,MDV
Food Inflation,2018-01-31,1.1,MDV
Food Inflation,2018-02-28,2.1,MDV
Food Inflation,2018-03-31,0.9,MDV
Food Inflation,2018-04-30,-2.8,MDV
Food Inflation,2018-05-31,-4.1,MDV
Food Inflation,2018-06-30,-6.0,MDV
Food Inflation,2018-07-31,-4.7,MDV
Food Inflation,2018-08-31,3.5,MDV
Food Inflation,2018-09-30,-1.2,MDV
Food Inflation,2018-10-31,-1.7,MDV
Food Inflation,2018-11-30,-1.6,MDV
Food Inflation,2018-12-31,-3.7,MDV
Food Inflation,2019-01-31,-4.8,MDV
Food Inflation,2019-02-28,-6.0,MDV
Food Inflation,2019-03-31,-5.1,MDV
Food Inflation,2019-04-30,-0.4,MDV
Food Inflation,2019-05-31,-0.8,MDV
Food Inflation,2019-06-30,4.4,MDV
Food Inflation,2019-07-31,-0.6,MDV
Food Inflation,2019-08-31,-3.7,MDV
Food Inflation,2019-09-30,0.2,MDV
Food Inflation,2019-10-31,1.7,MDV
Food Inflation,2019-11-30,1.8,MDV
Food Inflation,2019-12-31,2.7,MDV
Food Inflation,2020-01-31,4.4,MDV
Food Inflation,2020-02-29,4.3,MDV
Food Inflation,2020-03-31,4.4,MDV
Food Inflation,2020-04-30,4.0,MDV
Food Inflation,2020-05-31,4.9,MDV
Food Inflation,2020-06-30,1.1,MDV
Food Inflation,2020-07-31,5.4,MDV
Food Inflation,2020-08-31,2.7,MDV
Food Inflation,2020-09-30,3.1,MDV
Food Inflation,2020-10-31,2.1,MDV
Food Inflation,2020-11-30,3.1,MDV
Food Inflation,2020-12-31,1.1,MDV
Food Inflation,2021-01-31,0.7,MDV
Food Inflation,2021-02-28,1.3,MDV
Food Inflation,2021-03-31,1.7,MDV
Food Inflation,2021-04-30,1.3,MDV
Food Inflation,2021-05-31,0.2,MDV
Food Inflation,2021-06-30,2.4,MDV
Food Inflation,2021-07-31,2.8,MDV
Food Inflation,2021-08-31,2.5,MDV
Food Inflation,2021-09-30,1.7,MDV
Food Inflation,2021-10-31,2.3,MDV
Food Inflation,2021-11-30,2.6,MDV
Food Inflation,2021-12-31,2.3,MDV
Food Inflation,2022-01-31,1.9,MDV
Food Inflation,2022-02-28,1.7,MDV
Food Inflation,2022-03-31,2.9,MDV
Food Inflation,2022-04-30,3.7,MDV
Food Inflation,2022-05-31,4.7,MDV
Food Inflation,2022-06-30,5.2,MDV
Food Inflation,2022-07-31,6.0,MDV
Food Inflation,2022-08-31,6.2,MDV
Food Inflation,2022-09-30,6.6,MDV
Food Inflation,2022-10-31,5.9,MDV
Food Inflation,2022-11-30,5.7,MDV
Food Inflation,2022-12-31,6.6,MDV
Food Inflation,2023-01-31,7.8,MDV
Food Inflation,2023-02-28,7.6,MDV
Food Inflation,2023-03-31,8.0,MDV
Food Inflation,2023-04-30,6.4,MDV
Food Inflation,2023-05-31,4.7,MDV
Food Inflation,2023-06-30,4.5,MDV
Food Inflation,2023-07-31,4.5,MDV
Food Inflation,2023-08-31,3.8,MDV
Food Inflation,2023-09-30,5.5,MDV
Inflation Rate,1986-01-31,0.26,MDV
Inflation Rate,1986-02-28,11.75,MDV
Inflation Rate,1986-03-31,19.31,MDV
Inflation Rate,1986-04-30,20.97,MDV
Inflation Rate,1986-05-31,10.35,MDV
Inflation Rate,1986-06-30,0.52,MDV
Inflation Rate,1986-07-31,10.53,MDV
Inflation Rate,1986-08-31,5.65,MDV
Inflation Rate,1986-09-30,14.5,MDV
Inflation Rate,1986-10-31,6.02,MDV
Inflation Rate,1986-11-30,16.65,MDV
Inflation Rate,1986-12-31,1.71,MDV
Inflation Rate,1987-01-31,18.26,MDV
Inflation Rate,1987-02-28,16.84,MDV
Inflation Rate,1987-03-31,-5.34,MDV
Inflation Rate,1987-04-30,6.95,MDV
Inflation Rate,1987-05-31,5.63,MDV
Inflation Rate,1987-06-30,8.15,MDV
Inflation Rate,1987-07-31,1.62,MDV
Inflation Rate,1987-08-31,4.29,MDV
Inflation Rate,1987-09-30,-1.6,MDV
Inflation Rate,1987-10-31,14.1,MDV
Inflation Rate,1987-11-30,29.14,MDV
Inflation Rate,1987-12-31,21.25,MDV
Inflation Rate,1988-01-31,-5.06,MDV
Inflation Rate,1988-02-29,-1.1,MDV
Inflation Rate,1988-03-31,21.05,MDV
Inflation Rate,1988-04-30,11.65,MDV
Inflation Rate,1988-05-31,9.51,MDV
Inflation Rate,1988-06-30,11.12,MDV
Inflation Rate,1988-07-31,17.48,MDV
Inflation Rate,1988-08-31,24.07,MDV
Inflation Rate,1988-09-30,5.91,MDV
Inflation Rate,1988-10-31,-3.38,MDV
Inflation Rate,1988-11-30,-14.18,MDV
Inflation Rate,1988-12-31,10.59,MDV
Inflation Rate,1989-01-31,15.94,MDV
Inflation Rate,1989-02-28,10.07,MDV
Inflation Rate,1989-03-31,0.84,MDV
Inflation Rate,1989-04-30,2.39,MDV
Inflation Rate,1989-05-31,12.3,MDV
Inflation Rate,1989-06-30,11.6,MDV
Inflation Rate,1989-07-31,5.97,MDV
Inflation Rate,1989-08-31,-2.86,MDV
Inflation Rate,1989-09-30,1.4,MDV
Inflation Rate,1989-10-31,15.0,MDV
Inflation Rate,1989-11-30,14.4,MDV
Inflation Rate,1989-12-31,2.2,MDV
Inflation Rate,1990-01-31,1.15,MDV
Inflation Rate,1990-02-28,-4.27,MDV
Inflation Rate,1990-03-31,0.0,MDV
Inflation Rate,1990-04-30,11.31,MDV
Inflation Rate,1990-05-31,-0.2,MDV
Inflation Rate,1990-06-30,-0.62,MDV
Inflation Rate,1990-07-31,12.37,MDV
Inflation Rate,1990-08-31,0.53,MDV
Inflation Rate,1990-09-30,2.62,MDV
Inflation Rate,1990-10-31,10.69,MDV
Inflation Rate,1990-11-30,3.32,MDV
Inflation Rate,1990-12-31,6.52,MDV
Inflation Rate,1991-01-31,5.88,MDV
Inflation Rate,1991-02-28,22.02,MDV
Inflation Rate,1991-03-31,19.23,MDV
Inflation Rate,1991-04-30,6.81,MDV
Inflation Rate,1991-05-31,24.32,MDV
Inflation Rate,1991-06-30,29.18,MDV
Inflation Rate,1991-07-31,13.49,MDV
Inflation Rate,1991-08-31,17.14,MDV
Inflation Rate,1991-09-30,17.97,MDV
Inflation Rate,1991-10-31,0.14,MDV
Inflation Rate,1991-11-30,13.66,MDV
Inflation Rate,1991-12-31,11.18,MDV
Inflation Rate,1992-01-31,37.26,MDV
Inflation Rate,1992-02-29,11.76,MDV
Inflation Rate,1992-03-31,12.43,MDV
Inflation Rate,1992-04-30,9.98,MDV
Inflation Rate,1992-05-31,13.68,MDV
Inflation Rate,1992-06-30,29.73,MDV
Inflation Rate,1992-07-31,21.06,MDV
Inflation Rate,1992-08-31,21.69,MDV
Inflation Rate,1992-09-30,8.01,MDV
Inflation Rate,1992-10-31,21.19,MDV
Inflation Rate,1992-11-30,4.49,MDV
Inflation Rate,1992-12-31,12.54,MDV
Inflation Rate,1993-01-31,20.3,MDV
Inflation Rate,1993-02-28,33.65,MDV
Inflation Rate,1993-03-31,20.64,MDV
Inflation Rate,1993-04-30,34.92,MDV
Inflation Rate,1993-05-31,28.02,MDV
Inflation Rate,1993-06-30,9.32,MDV
Inflation Rate,1993-07-31,3.08,MDV
Inflation Rate,1993-08-31,11.76,MDV
Inflation Rate,1993-09-30,31.53,MDV
Inflation Rate,1993-10-31,11.99,MDV
Inflation Rate,1993-11-30,22.94,MDV
Inflation Rate,1993-12-31,20.21,MDV
Inflation Rate,1994-01-31,-3.74,MDV
Inflation Rate,1994-02-28,-0.13,MDV
Inflation Rate,1994-03-31,8.31,MDV
Inflation Rate,1994-04-30,-3.82,MDV
Inflation Rate,1994-05-31,-1.38,MDV
Inflation Rate,1994-06-30,-6.75,MDV
Inflation Rate,1994-07-31,5.95,MDV
Inflation Rate,1994-08-31,9.17,MDV
Inflation Rate,1994-09-30,-2.06,MDV
Inflation Rate,1994-10-31,3.9,MDV
Inflation Rate,1994-11-30,5.0,MDV
Inflation Rate,1994-12-31,29.9,MDV
Inflation Rate,1995-01-31,5.87,MDV
Inflation Rate,1995-02-28,13.61,MDV
Inflation Rate,1995-03-31,5.39,MDV
Inflation Rate,1995-04-30,10.86,MDV
Inflation Rate,1995-05-31,-8.43,MDV
Inflation Rate,1995-06-30,7.78,MDV
Inflation Rate,1995-07-31,9.5,MDV
Inflation Rate,1995-08-31,9.21,MDV
Inflation Rate,1995-09-30,11.63,MDV
Inflation Rate,1995-10-31,10.29,MDV
Inflation Rate,1995-11-30,8.09,MDV
Inflation Rate,1995-12-31,-12.63,MDV
Inflation Rate,1996-01-31,5.39,MDV
Inflation Rate,1996-02-29,-1.08,MDV
Inflation Rate,1996-03-31,0.37,MDV
Inflation Rate,1996-04-30,4.65,MDV
Inflation Rate,1996-05-31,16.62,MDV
Inflation Rate,1996-06-30,6.87,MDV
Inflation Rate,1996-07-31,7.24,MDV
Inflation Rate,1996-08-31,5.04,MDV
Inflation Rate,1996-09-30,6.85,MDV
Inflation Rate,1996-10-31,7.76,MDV
Inflation Rate,1996-11-30,8.98,MDV
Inflation Rate,1996-12-31,8.07,MDV
Inflation Rate,1997-01-31,16.34,MDV
Inflation Rate,1997-02-28,6.39,MDV
Inflation Rate,1997-03-31,11.08,MDV
Inflation Rate,1997-04-30,3.47,MDV
Inflation Rate,1997-05-31,11.73,MDV
Inflation Rate,1997-06-30,-1.21,MDV
Inflation Rate,1997-07-31,7.83,MDV
Inflation Rate,1997-08-31,4.17,MDV
Inflation Rate,1997-09-30,5.49,MDV
Inflation Rate,1997-10-31,8.6,MDV
Inflation Rate,1997-11-30,4.73,MDV
Inflation Rate,1997-12-31,12.75,MDV
Inflation Rate,1998-01-31,-4.85,MDV
Inflation Rate,1998-02-28,6.41,MDV
Inflation Rate,1998-03-31,-2.8,MDV
Inflation Rate,1998-04-30,2.09,MDV
Inflation Rate,1998-05-31,-6.38,MDV
Inflation Rate,1998-06-30,5.53,MDV
Inflation Rate,1998-07-31,-0.04,MDV
Inflation Rate,1998-08-31,-0.26,MDV
Inflation Rate,1998-09-30,-0.87,MDV
Inflation Rate,1998-10-31,-5.23,MDV
Inflation Rate,1998-11-30,0.55,MDV
Inflation Rate,1998-12-31,-9.33,MDV
Inflation Rate,1999-01-31,-0.93,MDV
Inflation Rate,1999-02-28,-5.71,MDV
Inflation Rate,1999-03-31,6.61,MDV
Inflation Rate,1999-04-30,10.97,MDV
Inflation Rate,1999-05-31,9.78,MDV
Inflation Rate,1999-06-30,1.97,MDV
Inflation Rate,1999-07-31,-1.11,MDV
Inflation Rate,1999-08-31,2.55,MDV
Inflation Rate,1999-09-30,-0.62,MDV
Inflation Rate,1999-10-31,9.9,MDV
Inflation Rate,1999-11-30,-0.06,MDV
Inflation Rate,1999-12-31,3.3,MDV
Inflation Rate,2000-01-31,-2.53,MDV
Inflation Rate,2000-02-29,-2.87,MDV
Inflation Rate,2000-03-31,-4.8,MDV
Inflation Rate,2000-04-30,-5.63,MDV
Inflation Rate,2000-05-31,2.44,MDV
Inflation Rate,2000-06-30,8.48,MDV
Inflation Rate,2000-07-31,1.82,MDV
Inflation Rate,2000-08-31,1.37,MDV
Inflation Rate,2000-09-30,1.25,MDV
Inflation Rate,2000-10-31,-6.08,MDV
Inflation Rate,2000-11-30,-3.96,MDV
Inflation Rate,2000-12-31,-2.77,MDV
Inflation Rate,2001-01-31,-1.0,MDV
Inflation Rate,2001-02-28,1.75,MDV
Inflation Rate,2001-03-31,-0.16,MDV
Inflation Rate,2001-04-30,-3.89,MDV
Inflation Rate,2001-05-31,-3.93,MDV
Inflation Rate,2001-06-30,-1.76,MDV
Inflation Rate,2001-07-31,-1.21,MDV
Inflation Rate,2001-08-31,-1.12,MDV
Inflation Rate,2001-09-30,3.57,MDV
Inflation Rate,2001-10-31,2.42,MDV
Inflation Rate,2001-11-30,7.65,MDV
Inflation Rate,2001-12-31,6.91,MDV
Inflation Rate,2002-01-31,11.24,MDV
Inflation Rate,2002-02-28,8.21,MDV
Inflation Rate,2002-03-31,8.08,MDV
Inflation Rate,2002-04-30,3.47,MDV
Inflation Rate,2002-05-31,3.55,MDV
Inflation Rate,2002-06-30,0.2,MDV
Inflation Rate,2002-07-31,6.14,MDV
Inflation Rate,2002-08-31,5.26,MDV
Inflation Rate,2002-09-30,0.78,MDV
Inflation Rate,2002-10-31,2.42,MDV
Inflation Rate,2002-11-30,1.8,MDV
Inflation Rate,2002-12-31,0.05,MDV
Inflation Rate,2003-01-31,-2.68,MDV
Inflation Rate,2003-02-28,-2.83,MDV
Inflation Rate,2003-03-31,-1.57,MDV
Inflation Rate,2003-04-30,-0.15,MDV
Inflation Rate,2003-05-31,-0.91,MDV
Inflation Rate,2003-06-30,-1.39,MDV
Inflation Rate,2003-07-31,-0.99,MDV
Inflation Rate,2003-08-31,-0.53,MDV
Inflation Rate,2003-09-30,0.55,MDV
Inflation Rate,2003-10-31,0.57,MDV
Inflation Rate,2003-11-30,-2.28,MDV
Inflation Rate,2003-12-31,-2.83,MDV
Inflation Rate,2004-01-31,-2.28,MDV
Inflation Rate,2004-02-29,-1.7,MDV
Inflation Rate,2004-03-31,-2.21,MDV
Inflation Rate,2004-04-30,-0.91,MDV
Inflation Rate,2004-05-31,-0.88,MDV
Inflation Rate,2004-06-30,-2.48,MDV
Inflation Rate,2004-07-31,-2.97,MDV
Inflation Rate,2004-08-31,-3.11,MDV
Inflation Rate,2004-09-30,-2.45,MDV
Inflation Rate,2004-10-31,-2.12,MDV
Inflation Rate,2004-11-30,0.05,MDV
Inflation Rate,2004-12-31,0.96,MDV
Inflation Rate,2005-01-31,0.61,MDV
Inflation Rate,2005-02-28,0.71,MDV
Inflation Rate,2005-03-31,0.22,MDV
Inflation Rate,2005-04-30,0.79,MDV
Inflation Rate,2005-05-31,-0.9,MDV
Inflation Rate,2005-06-30,0.59,MDV
Inflation Rate,2005-07-31,1.57,MDV
Inflation Rate,2005-08-31,1.73,MDV
Inflation Rate,2005-09-30,2.4,MDV
Inflation Rate,2005-10-31,1.93,MDV
Inflation Rate,2005-11-30,4.2,MDV
Inflation Rate,2005-12-31,1.78,MDV
Inflation Rate,2006-01-31,1.53,MDV
Inflation Rate,2006-02-28,2.39,MDV
Inflation Rate,2006-03-31,3.83,MDV
Inflation Rate,2006-04-30,2.77,MDV
Inflation Rate,2006-05-31,2.49,MDV
Inflation Rate,2006-06-30,3.43,MDV
Inflation Rate,2006-07-31,2.16,MDV
Inflation Rate,2006-08-31,2.62,MDV
Inflation Rate,2006-09-30,4.38,MDV
Inflation Rate,2006-10-31,2.16,MDV
Inflation Rate,2006-11-30,1.15,MDV
Inflation Rate,2006-12-31,3.99,MDV
Inflation Rate,2007-01-31,6.79,MDV
Inflation Rate,2007-02-28,5.07,MDV
Inflation Rate,2007-03-31,3.34,MDV
Inflation Rate,2007-04-30,4.3,MDV
Inflation Rate,2007-05-31,5.69,MDV
Inflation Rate,2007-06-30,5.5,MDV
Inflation Rate,2007-07-31,6.33,MDV
Inflation Rate,2007-08-31,9.26,MDV
Inflation Rate,2007-09-30,7.5,MDV
Inflation Rate,2007-10-31,9.22,MDV
Inflation Rate,2007-11-30,9.48,MDV
Inflation Rate,2007-12-31,8.89,MDV
Inflation Rate,2008-01-31,8.43,MDV
Inflation Rate,2008-02-29,10.63,MDV
Inflation Rate,2008-03-31,12.69,MDV
Inflation Rate,2008-04-30,14.02,MDV
Inflation Rate,2008-05-31,13.98,MDV
Inflation Rate,2008-06-30,14.35,MDV
Inflation Rate,2008-07-31,16.23,MDV
Inflation Rate,2008-08-31,14.14,MDV
Inflation Rate,2008-09-30,12.45,MDV
Inflation Rate,2008-10-31,10.53,MDV
Inflation Rate,2008-11-30,8.43,MDV
Inflation Rate,2008-12-31,8.94,MDV
Inflation Rate,2009-01-31,8.7,MDV
Inflation Rate,2009-02-28,6.23,MDV
Inflation Rate,2009-03-31,7.74,MDV
Inflation Rate,2009-04-30,4.26,MDV
Inflation Rate,2009-05-31,3.88,MDV
Inflation Rate,2009-06-30,3.67,MDV
Inflation Rate,2009-07-31,1.2,MDV
Inflation Rate,2009-08-31,1.38,MDV
Inflation Rate,2009-09-30,2.6,MDV
Inflation Rate,2009-10-31,3.04,MDV
Inflation Rate,2009-11-30,6.92,MDV
Inflation Rate,2009-12-31,5.41,MDV
Inflation Rate,2010-01-31,3.68,MDV
Inflation Rate,2010-02-28,5.83,MDV
Inflation Rate,2010-03-31,4.15,MDV
Inflation Rate,2010-04-30,6.28,MDV
Inflation Rate,2010-05-31,5.34,MDV
Inflation Rate,2010-06-30,6.08,MDV
Inflation Rate,2010-07-31,8.91,MDV
Inflation Rate,2010-08-31,8.24,MDV
Inflation Rate,2010-09-30,6.63,MDV
Inflation Rate,2010-10-31,6.87,MDV
Inflation Rate,2010-11-30,4.81,MDV
Inflation Rate,2010-12-31,6.94,MDV
Inflation Rate,2011-01-31,7.8,MDV
Inflation Rate,2011-02-28,5.95,MDV
Inflation Rate,2011-03-31,5.69,MDV
Inflation Rate,2011-04-30,9.4,MDV
Inflation Rate,2011-05-31,12.88,MDV
Inflation Rate,2011-06-30,12.69,MDV
Inflation Rate,2011-07-31,10.34,MDV
Inflation Rate,2011-08-31,9.99,MDV
Inflation Rate,2011-09-30,12.87,MDV
Inflation Rate,2011-10-31,13.51,MDV
Inflation Rate,2011-11-30,16.84,MDV
Inflation Rate,2011-12-31,16.66,MDV
Inflation Rate,2012-01-31,16.99,MDV
Inflation Rate,2012-02-29,17.57,MDV
Inflation Rate,2012-03-31,17.72,MDV
Inflation Rate,2012-04-30,12.63,MDV
Inflation Rate,2012-05-31,6.86,MDV
Inflation Rate,2012-06-30,10.3,MDV
Inflation Rate,2012-07-31,10.5,MDV
Inflation Rate,2012-08-31,10.87,MDV
Inflation Rate,2012-09-30,9.46,MDV
Inflation Rate,2012-10-31,9.15,MDV
Inflation Rate,2012-11-30,5.9,MDV
Inflation Rate,2012-12-31,5.07,MDV
Inflation Rate,2013-01-31,4.33,MDV
Inflation Rate,2013-02-28,4.43,MDV
Inflation Rate,2013-03-31,4.17,MDV
Inflation Rate,2013-04-30,4.38,MDV
Inflation Rate,2013-05-31,6.6,MDV
Inflation Rate,2013-06-30,2.07,MDV
Inflation Rate,2013-07-31,3.0,MDV
Inflation Rate,2013-08-31,2.51,MDV
Inflation Rate,2013-09-30,3.4,MDV
Inflation Rate,2013-10-31,3.95,MDV
Inflation Rate,2013-11-30,3.72,MDV
Inflation Rate,2013-12-31,3.29,MDV
Inflation Rate,2014-01-31,3.28,MDV
Inflation Rate,2014-02-28,3.34,MDV
Inflation Rate,2014-03-31,2.23,MDV
Inflation Rate,2014-04-30,2.3,MDV
Inflation Rate,2014-05-31,3.19,MDV
Inflation Rate,2014-06-30,3.32,MDV
Inflation Rate,2014-07-31,2.55,MDV
Inflation Rate,2014-08-31,2.23,MDV
Inflation Rate,2014-09-30,1.4,MDV
Inflation Rate,2014-10-31,0.87,MDV
Inflation Rate,2014-11-30,0.35,MDV
Inflation Rate,2014-12-31,0.53,MDV
Inflation Rate,2015-01-31,0.14,MDV
Inflation Rate,2015-02-28,0.4,MDV
Inflation Rate,2015-03-31,0.92,MDV
Inflation Rate,2015-04-30,1.41,MDV
Inflation Rate,2015-05-31,0.47,MDV
Inflation Rate,2015-06-30,1.45,MDV
Inflation Rate,2015-07-31,0.91,MDV
Inflation Rate,2015-08-31,1.21,MDV
Inflation Rate,2015-09-30,1.1,MDV
Inflation Rate,2015-10-31,1.04,MDV
Inflation Rate,2015-11-30,1.54,MDV
Inflation Rate,2015-12-31,0.85,MDV
Inflation Rate,2016-01-31,1.04,MDV
Inflation Rate,2016-02-29,1.14,MDV
Inflation Rate,2016-03-31,0.67,MDV
Inflation Rate,2016-04-30,-0.18,MDV
Inflation Rate,2016-05-31,-0.16,MDV
Inflation Rate,2016-06-30,-0.77,MDV
Inflation Rate,2016-07-31,-0.38,MDV
Inflation Rate,2016-08-31,-0.63,MDV
Inflation Rate,2016-09-30,-0.21,MDV
Inflation Rate,2016-10-31,1.71,MDV
Inflation Rate,2016-11-30,1.5,MDV
Inflation Rate,2016-12-31,2.32,MDV
Inflation Rate,2017-01-31,2.91,MDV
Inflation Rate,2017-02-28,3.05,MDV
Inflation Rate,2017-03-31,4.28,MDV
Inflation Rate,2017-04-30,4.46,MDV
Inflation Rate,2017-05-31,4.64,MDV
Inflation Rate,2017-06-30,3.37,MDV
Inflation Rate,2017-07-31,3.03,MDV
Inflation Rate,2017-08-31,2.75,MDV
Inflation Rate,2017-09-30,2.89,MDV
Inflation Rate,2017-10-31,0.69,MDV
Inflation Rate,2017-11-30,0.62,MDV
Inflation Rate,2017-12-31,1.27,MDV
Inflation Rate,2018-01-31,1.09,MDV
Inflation Rate,2018-02-28,1.02,MDV
Inflation Rate,2018-03-31,0.14,MDV
Inflation Rate,2018-04-30,-1.54,MDV
Inflation Rate,2018-05-31,-2.11,MDV
Inflation Rate,2018-06-30,-0.93,MDV
Inflation Rate,2018-07-31,-0.32,MDV
Inflation Rate,2018-08-31,1.42,MDV
Inflation Rate,2018-09-30,0.22,MDV
Inflation Rate,2018-10-31,0.04,MDV
Inflation Rate,2018-11-30,0.29,MDV
Inflation Rate,2018-12-31,-0.89,MDV
Inflation Rate,2019-01-31,-1.28,MDV
Inflation Rate,2019-02-28,-1.24,MDV
Inflation Rate,2019-03-31,-1.23,MDV
Inflation Rate,2019-04-30,0.87,MDV
Inflation Rate,2019-05-31,1.54,MDV
Inflation Rate,2019-06-30,1.59,MDV
Inflation Rate,2019-07-31,0.3,MDV
Inflation Rate,2019-08-31,-0.42,MDV
Inflation Rate,2019-09-30,0.02,MDV
Inflation Rate,2019-10-31,0.75,MDV
Inflation Rate,2019-11-30,0.54,MDV
Inflation Rate,2019-12-31,1.29,MDV
Inflation Rate,2020-01-31,1.24,MDV
Inflation Rate,2020-02-29,0.91,MDV
Inflation Rate,2020-03-31,0.0,MDV
Inflation Rate,2020-04-30,-3.62,MDV
Inflation Rate,2020-05-31,-3.87,MDV
Inflation Rate,2020-06-30,-4.5,MDV
Inflation Rate,2020-07-31,-1.1,MDV
Inflation Rate,2020-08-31,-1.2,MDV
Inflation Rate,2020-09-30,-0.89,MDV
Inflation Rate,2020-10-31,-1.15,MDV
Inflation Rate,2020-11-30,-0.89,MDV
Inflation Rate,2020-12-31,-1.33,MDV
Inflation Rate,2021-01-31,-0.95,MDV
Inflation Rate,2021-02-28,-1.0,MDV
Inflation Rate,2021-03-31,-0.08,MDV
Inflation Rate,2021-04-30,3.35,MDV
Inflation Rate,2021-05-31,2.74,MDV
Inflation Rate,2021-06-30,0.93,MDV
Inflation Rate,2021-07-31,0.91,MDV
Inflation Rate,2021-08-31,0.45,MDV
Inflation Rate,2021-09-30,0.08,MDV
Inflation Rate,2021-10-31,0.14,MDV
Inflation Rate,2021-11-30,0.13,MDV
Inflation Rate,2021-12-31,0.02,MDV
Inflation Rate,2022-01-31,0.17,MDV
Inflation Rate,2022-02-28,0.56,MDV
Inflation Rate,2022-03-31,1.05,MDV
Inflation Rate,2022-04-30,1.24,MDV
Inflation Rate,2022-05-31,2.46,MDV
Inflation Rate,2022-06-30,5.19,MDV
Inflation Rate,2022-07-31,2.48,MDV
Inflation Rate,2022-08-31,2.63,MDV
Inflation Rate,2022-09-30,3.1,MDV
Inflation Rate,2022-10-31,2.94,MDV
Inflation Rate,2022-11-30,2.84,MDV
Inflation Rate,2022-12-31,3.42,MDV
Inflation Rate,2023-01-31,3.99,MDV
Inflation Rate,2023-02-28,3.87,MDV
Inflation Rate,2023-03-31,3.97,MDV
Inflation Rate,2023-04-30,3.91,MDV
Inflation Rate,2023-05-31,2.82,MDV
Inflation Rate,2023-06-30,2.47,MDV
Inflation Rate,2023-07-31,2.38,MDV
Inflation Rate,2023-08-31,2.35,MDV
